Timestamp,User,Event,Comments
2025-02-09 07:27:34,    SYSTEM    ,    Program Started,    
2025-02-09 07:28:05,    SYSTEM    ,    Program Started,    
2025-02-09 07:28:18,    ETHAN     ,    LOGIN,    Fire Control Login
2025-02-09 07:28:39,    SYSTEM    ,    Program End,    
2025-02-09 07:29:08,    SYSTEM    ,    Program Started,    
2025-02-09 07:29:18,    ETHAN     ,    LOGIN,    Fire Control Login
2025-02-09 07:30:09,    SYSTEM    ,    Program End,    
2025-02-09 07:30:48,    SYSTEM    ,    Program Started,    
2025-02-09 07:30:59,    ETHAN     ,    LOGIN,    Fire Control Login
2025-02-09 07:31:32,    SYSTEM    ,    Program End,    
2025-02-09 07:34:27,    SYSTEM    ,    Program Started,    
2025-02-09 07:34:37,    ETHAN     ,    LOGIN,    Fire Control Login
2025-02-09 07:34:40,    SYSTEM    ,    Program End,    
2025-02-09 07:35:03,    SYSTEM    ,    Program Started,    
2025-02-09 07:35:15,    ETHAN     ,    LOGIN,    Fire Control Login
2025-02-09 07:35:23,    SYSTEM    ,    Program End,    
2025-02-09 07:56:28,    SYSTEM    ,    Program Started,    
2025-02-09 07:57:09,    SYSTEM    ,    Program Started,    
2025-02-09 07:58:03,    SYSTEM    ,    Program Started,    
2025-02-09 07:58:16,    ETHAN     ,    LOGIN,    Fire Control Login
2025-02-09 07:58:50,    SYSTEM    ,    Program End,    
2025-02-09 08:02:28,    SYSTEM    ,    Program Started,    
2025-02-09 08:02:37,    ETHAN     ,    LOGIN,    Fire Control Login
2025-02-09 08:02:38,    SYSTEM    ,    Program End,    
2025-02-09 08:06:37,    SYSTEM    ,    Program Started,    
2025-02-09 08:06:49,    SYSTEM    ,    Program End,    
2025-02-09 08:14:37,    SYSTEM    ,    Program Started,    
2025-02-09 08:14:46,    SYSTEM    ,    Program End,    
2025-02-09 08:34:49,    SYSTEM    ,    Program Started,    
2025-02-09 08:34:59,    SYSTEM    ,    Program End,    
2025-02-09 08:35:01,    SYSTEM    ,    Program Started,    
2025-02-09 09:09:02,    SYSTEM    ,    Program Started,    
2025-02-09 09:09:05,    SYSTEM    ,    Program End,    
2025-02-09 11:17:41,    SYSTEM    ,    Program Started,    
2025-02-09 11:17:52,    SYSTEM    ,    Program End,    
2025-02-09 11:19:17,    SYSTEM    ,    Program Started,    
2025-02-09 11:19:28,    SYSTEM    ,    Program End,    
2025-02-09 11:20:11,    SYSTEM    ,    Program Started,    
